Date,Development,Core Indicator,Link,Column 1
1/24/2025,"U.S. teens are less likely than adults to know a trans person, more likely to know someone who’s nonbinary",Attitudinal Climate,https://www.pewresearch.org/short-reads/2025/01/24/us-teens-are-less-likely-than-adults-to-know-a-trans-person-more-likely-to-know-someone-whos-nonbinary/,
1/26/2025,"Study finds gender-affirming medical care for minors is very rare, refuting political narrative",Narrative Environment,https://www.pbs.org/newshour/show/study-finds-gender-affirming-care-for-minors-is-very-rare-refuting-political-narrative,
2/18/2025,"For every week without USAID, nearly one million women and girls worldwide are denied contraceptive care, according to analysis from the Guttmacher Institute, a leading reproductive health policy organisation.",Gendered Economic Conditions,https://www.independent.co.uk/news/world/usaid-global-health-hiv-women-africa-b2694023.html ,
2/20/2025,"Nearly one in 10 adults in the United States identifies as L.G.B.T.Q., according to a large analysis from Gallup released Thursday — almost triple the share since Gallup began counting in 2012, and up by two-thirds since 2020.",Narrative Environment,https://www.nytimes.com/2025/02/20/upshot/lgbtq-survey-results.html ,
2/26/2025,"A Pew Research Center survey revealed that 78% of lesbian, gay, bisexual, transgender and queer adults in the United States say they expect the administration’s policies to have a negative impact on people who are transgender. 71% expect a negative impact on those who are gay, lesbian or bisexual.",Attitudinal Climate,https://www.pewresearch.org/short-reads/2025/02/26/most-lgbtq-adults-expect-trumps-policies-to-affect-gay-lesbian-bisexual-and-trans-people-negatively/,
3/3/2025,"Among President Trump’s first executive orders were those targeting transgender people’s identity, military service, access to health care, access to education, and access to sports. GLAAD analyzed 35 first day stories from six of the largest media outlets. Only 13 of 35 stories included at least one quote by a transgender person. Day one stories have a greater reach than follow-on coverage.",Narrative Environment,https://glaad.org/media-analysis-executive-orders/ ,
3/11/2025,"New data from the Inter-Parliamentary Union (IPU) and UN Women reveal limited progress in achieving gender equality in political leadership at the start of 2025, the year which marks the 30th anniversary of the Beijing Declaration and Platform for Action, the landmark UN framework which set out the roadmap for gender equality and women’s rights. According to the 2025 edition of the IPU–UN Women “Women in politics” map, men outnumber women by more than three times in executive and legislative positions. The map presents the latest rankings of women in executive positions and national parliaments as of 1 January 2025. While the proportion of women in parliament has increased fractionally by 0.3 percentage points to 27.2 per cent compared to a year ago, in government positions it has declined by 0.4 percentage points.",Democratic Climate,https://www.unwomen.org/en/news-stories/press-release/2025/03/political-leadership-roles-in-2025-men-continue-to-dominate,
3/11/2025,More than 20 states and the District of Columbia have banned conversion therapy for minors.,Democratic Climate,https://www.newsweek.com/map-states-conversion-therapy-banned-minors-2042727,
3/25/2025,"On Equal Pay Day 2025, the American Association of University Women (AAUW) releases its latest report, The Not So Simple Truth About the Gender Pay Gap, revealing a troubling reversal in progress: the pay gap widened in 2023 for the first time in decades. According to the report, women working full-time, year-round earned just 83 cents for every dollar earned by men, down from previous years. When including part-time and seasonal workers, the earnings ratio drops to 75 cents. The gaps are even larger gaps for women of color, LGBTQ+ women, and women with disabilities. ",Gendered Economic Conditions,https://www.aauw.org/resources/news/media/press-releases/gender-pay-aauws-new-report-exposes-the-deep-rooted-causes-of-pay-inequity-on-equal-pay-day-2025/,https://www.epi.org/blog/gender-pay-gap-2024/
3/26/2025,"Washington has one of the nation's highest gender pay gaps, according to 2023 census data. The median pay for women who worked in Washington state in 2023 was about $17,400 less than for men, according to data from the Census Bureau's American Community Survey.",Gendered Economic Conditions,https://www.axios.com/local/seattle/2025/03/26/gender-pay-gap-washington-state,
4/30/2025,"Twenty-seven states have passed bans on gender-affirming health care for transgender children and teenagers, according to a CNN analysis of data from the Movement Advancement Project, a nonprofit think tank that advocates for LGBTQ rights. An estimated 40% of transgender youth ages 13 to 17 live in these states, according to MAP and The Williams Institute. These laws are in the spotlight after the US Supreme Court heard oral arguments late last year in a case that challenges Tennessee’s ban on transgender care for minors. Gender-affirming care includes medically necessary, evidence-based care that uses a multidisciplinary approach to help a person transition from their assigned gender — the one the person was designated at birth — to their affirmed gender, the gender by which one wants to be known.",Democratic Climate,https://www.cnn.com/politics/state-ban-gender-affirming-care-transgender-dg,
5/10/2025,"About half of U.S. adults approve of how President Donald Trump is handling transgender issues, according to a new poll — a relative high point for a president who has the approval overall of about 4 in 10 Americans. But support for his individual policies on transgender people is not uniformly strong, with a clearer consensus against policies that affect youth.",Attitudinal Climate,https://apnews.com/article/transgender-poll-care-bathrooms-military-trump-b5c9521d3d486e87c8631a99a455df2f ,
6/11/2025,"Results of a new Gallup poll reveal an increase in the number of Americans who support policies that prioritize sex over gender identity. The polling firm surveyed 1,003 U.S. adults from May 1–18, asking them a number of questions related to sex and gender with a margin of sampling error of 4%. When compared with the 2021 and 2023 Gallup research surveys on sex and gender, the new study revealed an increase in the number of Americans who prefer using sex as an identifier rather than “gender identity.”",Attitudinal Climate,https://www.catholicnewsagency.com/news/264689/new-poll-shows-more-americans-support-prioritizing-birth-sex-over-gender-identity ,
7/11/2025,"Societal stress could be driving some transgender and gender-diverse people to the bottle, a small-scale study says. People whose gender identity differs from their birth sex drink more alcohol and engage in more hazardous drinking than cisgender heterosexual peers, according to findings published July 6 in the journal Alcohol: Clinical & Experimental Research.",Narrative Environment,https://www.usnews.com/news/health-news/articles/2025-07-11/societal-stress-driving-trans-gender-diverse-to-drink ,
9/8/2025,"The latest NBC News Decision Desk Poll powered by SurveyMonkey shows how the political gender gap persists alongside different social beliefs between young men and women. Gender divides within adults ages 18 to 29 show up in questions ranging from how Americans feel about President Donald Trump to their views on what constitutes success. Young men and women also feel very different about mental health, cultural issues and questions about gender and the workplace. Among Gen Z overall, 64% disapprove of Trump’s job performance versus 36% who approve. But young men are more evenly split (53% disapprove, 47% approve) than young women (74% disapprove, 26% approve). The 21-point difference in Trump’s approval rating is unchanged from April.",Attitudinal Climate,https://www.nbcnews.com/politics/politics-news/poll-gen-zs-gender-divide-reaches-politics-views-marriage-children-suc-rcna229255 ,
9/12/2025,"The gender wage gap widened in 2024 for the second consecutive year, according to new figures released by the US Census Bureau. Women working full-time earned a median salary equivalent to 81% of what their male counterparts earned in 2024, down from 83% the year prior, according to the report. The median man working full-time saw his earnings climb to $71,090, up 3.7% from the previous year, while the median salary for women stayed flat, at $57,520. This is the first time the gender pay gap has widened for two years in a row—a worrying trend for advocates that hoped policies like pay transparency would help lessen this disparity.",Gendered Economic Conditions,https://www.hr-brew.com/stories/2025/09/12/us-gender-pay-gap-widened-second-year-in-a-row ,
