Date,Development,Forecast,Signpost,Slider Score,Who is impacted?,National Security Considerations,Link,Additional Link and/or note,Domains of Assessment
1/20/2025,"President Trump issued an executive order stating that there are only two biologically distinct genders, that federal agencies must use the term ""sex"" instead of gender,"" and ending gender-related medical treatments for transgender people in prison among other protections.",Forecast - Hybrid Political/Social Repression,"Signpost - Removal or limiting reinterpretation of laws and frameworks designed to protect trans, queer, LGBTQIA+, or women",4,"trans and non-binary inmates, transgender and gender-diverse individuals",no,https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/,https://www.nytimes.com/2025/01/23/us/trump-transgender-inmates-prison.html?utm_source=substack&utm_medium=email,Procedural/Institutional
2/13/2025,"Outright International released its Defunding Freedom report detailing the impacts of U.S. foreign aid cuts on LGBTQ+ people globally. Such impacts include the termination of grants, the shuttering of programs, and the cessation of life-saving services.",Forecast - Diplomatic Repression,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",4,LGBTQ+ individuals,no,https://outrightinternational.org/our-work/human-rights-research/defunding-freedom-impacts-us-foreign-aid-cuts-lgbtiq-people?mc_cid=f63f3a9171&mc_eid=3c347d0340&mc_cid=f63f3a9171&mc_eid=3c347d0340,,Material Impact
3/24/2025,"A surge of grant cancellations hit researchers focused on the health of gay, lesbian and transgender people last week, as the Trump administration continues to target what it describes as ideologically driven science.",Forecast - Economic Repression ," Signpost - Cuts  or divestments in federal scientific and evidence-based research related to equity, gender, or social policy",2,Academic and public health researchers,no,https://apnews.com/article/lgbtq-research-grants-terminated-trump-5b2810312de1420ca3df875314b0a1e9,,Procedural/Institutional
4/15/2025,A bill introduced in the Massachusetts Senate this week would help healthcare professionals and lawyers safely work with people who want to get gender-affirming care or reproductive health care.,Forecast - Political Progression ,"Signpost - State and federal expansion or continued protections of gender, reproductive, or  LGTBQ+ frameworks",-1,"transgender and gender-diverse individuals, Healthcare practitioners, Legal practitioners",no,https://www.lgbtqnation.com/2025/04/massachusetts-democrats-introduce-bill-to-protect-trans-people-from-federal-investigations/,,Procedural/Institutional
5/6/2025,"-""No more trans @ DoD,"" Defense Secretary Pete Hegseth said on X. In a separate Defense Department post earlier Tuesday, before the decision was issued, Hegseth said in a video: ""No more dudes in dresses. We are done with that s---.""",Forecast -  Social Repression ,Signpost - Public officials use inflammatory or dehumanizing rhetoric towards marginalized groups,3,Trans military personnel,yes,https://economictimes.indiatimes.com/news/international/global-trends/us-news-supreme-court-trump-administration-transgender-military-ban-no-more-dudes-in-dresses-pete-hegseth/articleshow/120958274.cms?from=mdr ,https://www.defense.gov/News/Transcripts/Transcript/Article/4176603/secretary-of-defense-pete-hegseth-delivers-keynote-address-at-special-operation/ ,Societal Behavior and Norms
6/11/2025,"Iowa's Medicaid program will no longer pay for gender-affirming surgeries and hormone therapies for transgender Iowans, under a bill that Gov. Kim Reynolds has signed into law. The law, House File 1049, bans Medicaid from paying for the services beginning July 1. But it does not ban Medicaid from covering mental health counseling to treat gender dysphoria.",Forecast - Political Repression,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",3,"transgender and gender-diverse youth, Beneficiaries of federal programs",no,"https://www.desmoinesregister.com/story/news/politics/2025/06/11/iowa-gov-kim-reynolds-signs-law-banning-medicaid-coverage-of-gender-affirming-surgeries/84118272007/ ",,Procedural/Institutional
7/18/2025,"The Trump administration has decided to destroy $9.7m worth of contraceptives rather than send them abroad to women in need. A state department spokesperson confirmed that the decision had been made – a move that will cost US taxpayers $167,000. The contraceptives are primarily long-acting, such as IUDs and birth control implants, and were almost certainly intended for women in Africa, according to two senior congressional aides, one of whom visited a warehouse in Belgium that housed the contraceptives. It is not clear to the aides whether the destruction has already been carried out, but said they had been told that it was set to occur by the end of July.",Forecast - Diplomatic Repression,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights
",4,women and girls,no,https://www.theguardian.com/us-news/2025/jul/18/trump-administration-destroy-contraceptives-usaid-africa ,,Material Impact
8/27/2025,"Fort Lauderdale city leaders decided Wednesday to fight the state of Florida’s order to remove rainbow-colored street art, potentially risking millions of dollars in funding. At the end of a special meeting that lasted more than three hours and included comment from more than 40 speakers, the Fort Lauderdale City Commission voted unanimously to file an administrative appeal against an order to cover four street art installations in the city, including a large rainbow-colored LGBTQ+ pride flag.",Forecast- Status Quo,,-1,"LGBTQ+ individuals, local residents",no,https://apnews.com/article/florida-lgbtq-rainbow-crosswalks-desantis-c4fa6e1ff69ea88e5bd8433bf0ccf62a ,,Discursive/Symbolic
9/12/2025,"U.S. diplomats lambasted the UN women’s agency for promoting gender ideology and abortion, calling out the agency’s efforts to “eradicate the biological reality of sex.” Under instructions from the Trump administration, U.S. diplomats refused to endorse UN Women’s new four-year strategic plan and called out the agency for refusing to “protect biological reality.” The U.S. delegation voted against the strategy during a meeting of the Executive Board of the agency on Wednesday. It was the first time that the agency’s strategic plan was voted on, as it is normally adopted unanimously. While the U.S. delegation was alone in voting against the plan, ten other delegations, mostly from Africa and the Middle East. Also India and Russia expressed concerns about UN Women’s work on gender and sexual rights.",Forecast - Diplomatic Repression,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",3,"international gender rights organizations, women and LGBTQ+ beneficiaries",no,https://c-fam.org/friday_fax/us-to-un-women-stop-pushing-gender-ideology/ ,,Discursive/Symbolic
10/9/2025," A North Dakota judge has upheld the state’s ban on gender-affirming care for children, in a blow to families who have had to travel out of state to obtain the medical treatments they said are crucial for their kids’ well-being. District Judge Jackson Lofgren said in his decision Wednesday that the law discriminates based on age and medical purpose, not sex, and that there’s little evidence the Legislature passed the law for “an invidious discriminatory purpose.” He also noted various concerns and ongoing debates over the medical treatments involved.",Forecast - Political Repression,"Signpost - Judicial challenges seeking to weaken, reinterpret, or overturn gender-related civil rights precedents",2,"transgender and gender-diverse youth, local residents",no,https://apnews.com/article/north-dakota-lgbtq-genderaffirming-care-f6bc791630de5fd31fc8dbf305887874,,Procedural/Institutional
