Monitor - Gender Equality,,,,,,,,,,
Date,Development,Forecast,Signpost,Slider Score,Sector Impacted,Who is impacted?,National Security Considerations,Link,Additional Link and/or note,Domains of Assessment
1/20/2025,Executive order establishing 90-day pause on foreign assistance ,Diplomatic Disruption,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",3,International/Multilateral,"women and LGBTQ+ beneficiaries, international gender rights organizations",no,https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/,,Procedural/Institutional
1/20/2025,"President Trump issued an executive order stating that there are only two biologically distinct genders, that federal agencies musu use the term ""sex"" instead of gender,"" and ending gender-related medical treatments for transgender people in prison among other protections.",Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,"trans and non-binary inmates, transgender and gender-diverse individuals",no,https://www.whitehouse.gov/presidential-actions/2025/01/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal-government/,https://www.nytimes.com/2025/01/23/us/trump-transgender-inmates-prison.html?utm_source=substack&utm_medium=email,Procedural/Institutional
1/20/2025,"President Trump issued an executive order effectively repealing Biden's executive orders, including those that safeguarded LGBTQ+ protections, moving away from norms of gender/sexual equality.",Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,transgender and gender-diverse individuals,no,https://www.whitehouse.gov/presidential-actions/2025/01/initial-rescissions-of-harmful-executive-orders-and-actions/,,Procedural/Institutional
1/21/2025,"The Trump administration shut down reproductiverights.gov, a website with helpful reproductive rights information. ",Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Governance / Public Institutions,women and girls,no,https://www.usatoday.com/story/news/politics/2025/01/21/reproductive-rights-government-website-shut-down/77846157007/?utm_source=substack&utm_medium=email,,Material Impact
1/22/2025,"Governor Gretchen Whitmer has signed 16 bills to expand reproductive freedom across the state, including one that allows pharmacists to directly prescribe and dispense contraceptives. The package of bills allows women to more easily access critical health care by lowering costs and cutting “unnecessary red tape.” The Governor’s office says the bills also bolster her commitment to advancing reproductive freedoms here in Michigan, allowing more Michiganders to control if, when, and how they choose to start their families.",Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-4,State Government,"women and girls, Reproductive healthcare patients and providers",no,https://www.wilx.com/2025/01/22/gov-whitmer-signs-16-bills-expanding-reproductive-freedom/,,Procedural/Institutional
1/22/2025,"Senate Democrats blocked a Republican-written bill on Wednesday that could subject some doctors who perform abortions to criminal penalties, thwarting the G.O.P.’s first attempt to restrict reproductive rights since the party has secured its governing trifecta.",Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-3,Federal Legislative,"Healthcare practitioners, Reproductive healthcare patients and providers",no,https://www.nytimes.com/2025/01/22/us/politics/senate-abortion-vote-republicans.html,,Procedural/Institutional
1/22/2025,"During a Senate Veterans’ Affairs Committee hearing yesterday, Ranking Member Richard Blumenthal (D-CT) pressed Doug Collins, the nominee to be Secretary of Veterans Affairs, to commit to protecting veterans’ access to reproductive care under the Department of Veterans Affairs’ (VA) current rule to offer abortion counseling and care in certain cases.“I expect the Administration to consider the existing rule legally binding, unless it is replaced or struck down,” said Blumenthal. “I believe that rolling back this policy would unnecessarily risk the lives and health of pregnant veterans in states with abortion bans and care restrictions in the post-Dobbs era.”",Status Quo,,0,Federal Legislative,Women servicemembers or veterans,no,https://www.veterans.senate.gov/2025/1/icymi-blumenthal-pushes-collins-to-protect-veterans-reproductive-rights,,Discursive/Symbolic
1/23/2025,President Trump issued an executive order pardoning 23 anti-abortion protesters the day before the March for Life rally.,Political Disruption,Signpost - Increased use of executive orders to circumvent legislative and judicial constraints,4,Federal Executive,Human rights advocates/activists,no,https://www.nbcnews.com/politics/donald-trump/trump-pardons-anti-abortion-protestors-day-annual-march-life-rally-rcna189038?utm_source=substack&utm_medium=email,,Discursive/Symbolic
1/23/2025,"President Trump issued an executive order terminating DEIA programs in the federal government. On Tuesday, U.S. Office of Personnel Management (OPM) acting director Charles Ezell sent a memo to agency leaders ordering them to place all employees of DEIA offices on paid administrative leave no later than 5 p.m. Wednesday. Agencies were also told to send agency-wide notices ""asking employees if they know of any efforts to disguise these programs by using coded or imprecise language.""",Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,4,Federal Executive,federal workforce,yes,https://www.npr.org/2025/01/23/nx-s1-5271588/trump-dei-diversity-equity-inclusion-federal-workers-government?utm_source=substack&utm_medium=email,,Procedural/Institutional
1/24/2025,"Less than a week after being sworn in as Donald Trump’s vice-president, former U.S. Sen. JD Vance of Ohio told a National March for Life rally by the Washington Monument that the new administration stands “with you, and most importantly we stand with the most vulnerable.” “I want more babies in the United States of America,” the Cincinnati Republican said in his first public address as vice president. “I want more happy children in our country and I want beautiful young men and women who are eager to welcome them into the world and eager to raise them.”",Status Quo,,0,Federal Executive,Reproductive healthcare patients and providers,no,https://www.cleveland.com/news/2025/01/i-want-more-babies-in-america-jd-vance-says-in-his-first-public-address-as-vice-president.html,,Discursive/Symbolic
1/25/2025,"The US State Department has frozen nearly all foreign assistance worldwide, effective immediately, days after President Donald Trump issued a sweeping executive order Monday to put a hold on such aid for 90 days.",Diplomatic Disruption,"Signpost - US withdrawal from or defunding of international organizations advancing gender, LGBTQ+, or reproductive rights",4,Federal Agencies,"women and LGBTQ+ beneficiaries, international gender rights organizations",no,https://www.cnn.com/2025/01/24/politics/us-freezes-foreign-aid,,Procedural/Institutional
1/25/2025,"Secretary of State Marco Rubio has directed the State Department to freeze applications in the passport pipeline with “X” selected as the gender identifier, according to internal communication reviewed by ABC News.
",Hybrid Political/Social Disruption,Signpost - Changes to legal recognition of gender and family structure ,3,Federal Agencies,transgender and gender-diverse individuals,no,https://abcnews.go.com/US/state-department-halts-passport-gender-marker-applications/story?id=118062178,,Material Impact
1/26/2025," Michigan’s hate crime law will soon be expanded to protect sexual orientation, gender identity or expression, age, disability and more. The first overhaul to the law in about 36 years will also stiffen the criminal and possible civil penalties for committing a hate crime and expand the definition of hate crimes. The changes, signed into law Wednesday by Gov. Gretchen Whitmer, take effect April 2.",Political Progression ,"Signpost - State or federal policy actions that establish, reinstate, or expand gender, reproductive, or LGBTQ+ protections",-3,State Government,"transgender and gender-diverse individuals, LGBTQ+ individuals",no,https://www.pbs.org/newshour/show/study-finds-gender-affirming-care-for-minors-is-very-rare-refuting-political-narrative,https://www.mlive.com/politics/2025/01/gender-identity-sexuality-to-be-protected-under-michigans-hate-crime-law.html,Procedural/Institutional
1/27/2025,"Days after President Trump issued an executive order (EO) taking aim at diversity, equity, and inclusion (DEI) programs and prohibiting federal recognition of gender identity apart from biological sex, previously issued draft guidance on diversity in clinical trials was removed from the website of the U.S. Food and Drug Administration (FDA). While the removed guidance was in draft form, it is highly unusual for FDA to revoke or alter draft guidance without issuing a statement or further guidance. This move raises questions about the applicability of statutory obligations to submit clinical trial Diversity Action Plans and the agency’s current thinking on best practices for clinical development.",Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Agencies,Academic and public health researchers,no,https://www.crowell.com/en/insights/client-alerts/after-trump-executive-orders-fda-removes-diversity-guidance-from-website,,Procedural/Institutional
1/27/2025,Lambda Legal and the Human Rights Campaign today announced their intent to sue the Trump administration to block implementation of yet another discriminatory and dangerous attempt to bar patriotic transgender military service members from serving openly in the U.S. armed services. President Trump issued the transgender military service ban today. ,Status Quo,,0,Civil Society/NGOs,Trans military personnel,no,https://lambdalegal.org/newsroom/us_20250127_ll-and-hrc-pledge-quick-action-against-trump-administration-renewed-transgender-military-service-ban/,,Discursive/Symbolic
1/27/2025,"A transgender woman serving in a federal prison has filed a lawsuit arguing that President Donald Trump's executive order directing the U.S. government to recognize only two, unchangeable sexes and requiring inmates like her to be housed in men's prisons violates the U.S. Constitution and federal law.",Status Quo,,0,Federal Judiciary,trans and non-binary inmates,no,https://www.reuters.com/legal/transgender-inmate-sues-over-trumps-order-curtailing-lgbt-rights-2025-01-27/,,Procedural/Institutional
1/28/2025,President Trump issued an executive order banning transgender military members from being able to serve.,Hybrid Political/Security Disruption,Signpost - Removal of qualified civil servants and service members in national security sectors due to sexual orientation or gender identity,4,Federal Executive,Trans military personnel,yes,https://www.npr.org/sections/shots-health-news/2025/01/28/nx-s1-5277106/trump-executive-order-transgender-military,,Procedural/Institutional
1/29/2025,"President Trump issued an executive order calling for the restructuring of educational curriculum to return to a more ""patriotic education""; this includes incorporating directives from previous executive orders that limit protections for women and gender diverse people and nullify DEI initiatives.",Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Education Systems,"transgender and gender-diverse youth, youth, Education practitioners",no,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-indoctrination-in-k-12-schooling/,,Procedural/Institutional
1/29/2025,"The Trump administration ordered federal agencies to scrub mentions of ""gender ideology"" in contracts, job descriptions and social media accounts in line with an executive order forcing the government to recognize only two sexes. A memo issued Wednesday by the U.S. Office of Personnel Management gives guidance on carrying out an executive order by President Donald Trump requiring federal agencies to ""recognize women are biologically female, and men are biologically male.""",Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",3,Federal Agencies,"transgender and gender-diverse individuals, federal workforce, trans and non-binary federal workforce",indirect,https://www.reuters.com/world/us/trump-orders-agencies-scrub-gender-ideology-contracts-websites-2025-01-30/,,Procedural/Institutional
1/30/2025,"Executive Order 14168 of January 20, 2025 -Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government",Political Disruption,"Signpost - Legislative or executive actions restricting reproductive, gender, or workplace rights",4,Federal Executive,"transgender and gender-diverse youth, transgender and gender-diverse individuals",no,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,,Procedural/Institutional
1/30/2025,"As the White House implements President Donald Trump’s executive orders, some public health groups and state and local health departments have been ordered to “immediately terminate” all programs and activities promoting diversity, equity and inclusion that are supported by certain funding through the US Centers for Disease Control and Prevention, according to two people in the public health field who received the memo.
",Political Disruption,Signpost - Politicization or repurposing of protective institutions for political objectives,3,Federal Governance / Public Institutions,"Marginalized ethnicity groups, women and girls, LGBTQ+ individuals",no,https://www.cnn.com/politics/live-news/rfk-jr-hearing-trump-news-01-30-25,,Material Impact
1/31/2025,"Memorandum for NASA Acquisition Workforce - This guidance directed agencies to take immediate action to identify and terminate gender ideology initiatives and programs and remove final or pending documents, directives, orders, materials, and such plans issued by agencies that conflict with the signed Executive Order. Effective immediately, the procurement, grant, cooperative agreement, and advertisement of gender ideological activities is prohibited",Political Disruption,Signpost - Public information and data erasure in government systems,3,Federal Agencies,"federal workforce, trans and non-binary federal workforce",no,https://www.nasa.gov/wp-content/uploads/2025/01/agency-memo-defending-women.pdf?emrc=3f64db,,Procedural/Institutional
